sample_id,cluster_id,cluster_root,cluster_size
S20,2,N581,42
S200,2,N581,42
S204,2,N581,42
S207,2,N581,42
S169,2,N581,42
S259,3,N588,31
S265,3,N588,31
S271,3,N588,31
S294,3,N588,31
S296,3,N588,31
S37,3,N588,31
S73,3,N588,31
S51,3,N588,31
S66,3,N588,31
S67,3,N588,31
S76,3,N588,31
S90,3,N588,31
S25,3,N588,31
S5,3,N588,31
S235,3,N588,31
S99,3,N588,31
S222,3,N588,31
S230,3,N588,31
S113,3,N588,31
S120,3,N588,31
S137,3,N588,31
S164,3,N588,31
S181,3,N588,31
S132,3,N588,31
S199,3,N588,31
S2,3,N588,31
S201,3,N588,31
S206,3,N588,31
S21,3,N588,31
S217,3,N588,31
S196,3,N588,31
S297,4,N574,41
S242,4,N574,41
S245,4,N574,41
S248,4,N574,41
S256,4,N574,41
S264,4,N574,41
S272,4,N574,41
S280,4,N574,41
S33,4,N574,41
S7,4,N574,41
S43,4,N574,41
S44,4,N574,41
S50,4,N574,41
S53,4,N574,41
S62,4,N574,41
S239,4,N574,41
S71,4,N574,41
S80,4,N574,41
S34,4,N574,41
S228,4,N574,41
S226,4,N574,41
S225,4,N574,41
S104,4,N574,41
S11,4,N574,41
S117,4,N574,41
S12,4,N574,41
S124,4,N574,41
S134,4,N574,41
S139,4,N574,41
S140,4,N574,41
S149,4,N574,41
S115,4,N574,41
S158,4,N574,41
S165,4,N574,41
S182,4,N574,41
S192,4,N574,41
S197,4,N574,41
S202,4,N574,41
S215,4,N574,41
S219,4,N574,41
S155,4,N574,41
S227,5,N583,32
S23,5,N583,32
S246,5,N583,32
S261,5,N583,32
S269,5,N583,32
S282,5,N583,32
S41,5,N583,32
S288,5,N583,32
S97,5,N583,32
S39,5,N583,32
S60,5,N583,32
S69,5,N583,32
S216,5,N583,32
S286,5,N583,32
S195,5,N583,32
S293,5,N583,32
S19,5,N583,32
S194,5,N583,32
S0,5,N583,32
S102,5,N583,32
S110,5,N583,32
S122,5,N583,32
S130,5,N583,32
S133,5,N583,32
S106,5,N583,32
S143,5,N583,32
S154,5,N583,32
S16,5,N583,32
S160,5,N583,32
S166,5,N583,32
S18,5,N583,32
S142,5,N583,32
S32,6,N589,44
S285,6,N589,44
S287,6,N589,44
S289,6,N589,44
S29,6,N589,44
S290,6,N589,44
S295,6,N589,44
S30,6,N589,44
S38,6,N589,44
S68,6,N589,44
S47,6,N589,44
S48,6,N589,44
S54,6,N589,44
S6,6,N589,44
S65,6,N589,44
S28,6,N589,44
S72,6,N589,44
S77,6,N589,44
S87,6,N589,44
S42,6,N589,44
S266,6,N589,44
S298,6,N589,44
S257,6,N589,44
S263,6,N589,44
S10,6,N589,44
S100,6,N589,44
S129,6,N589,44
S136,6,N589,44
S148,6,N589,44
S156,6,N589,44
S168,6,N589,44
S17,6,N589,44
S170,6,N589,44
S128,6,N589,44
S176,6,N589,44
S187,6,N589,44
S193,6,N589,44
S205,6,N589,44
S211,6,N589,44
S221,6,N589,44
S237,6,N589,44
S238,6,N589,44
S172,6,N589,44
S255,6,N589,44
S283,7,N591,33
S292,7,N591,33
S299,7,N591,33
S35,7,N591,33
S40,7,N591,33
S56,7,N591,33
S79,7,N591,33
S74,7,N591,33
S75,7,N591,33
S86,7,N591,33
S9,7,N591,33
S91,7,N591,33
S279,7,N591,33
S70,7,N591,33
S278,7,N591,33
S152,7,N591,33
S270,7,N591,33
S92,7,N591,33
S107,7,N591,33
S109,7,N591,33
S116,7,N591,33
S123,7,N591,33
S126,7,N591,33
S276,7,N591,33
S157,7,N591,33
S179,7,N591,33
S186,7,N591,33
S190,7,N591,33
S214,7,N591,33
S262,7,N591,33
S267,7,N591,33
S159,7,N591,33
S94,7,N591,33
