run_id,specificity_aware_rank,display_rank,weighting,block_name,status,assignment_source,cluster_id,cluster_size,tested,n_significant_terms,best_q_value,top_term,top_go_id,top_hits,top_background_hits,top_cluster_prevalence,top_background_prevalence,top_prevalence_delta,top_lift,meaningfulness_label,member_genes
current__adaptive_diffusion_cosine_subspace__tfidf__adaptive_modes_06_10,3,3,tfidf,adaptive_modes_06_10,ok,accepted_tbs,48,4,True,179,1.0393826713659082e-06,Oxygen-dependent Proline Hydroxylation of Hypoxia-inducible Factor Alpha,,4,6,1.0,0.04,0.96,25.0,strong,RNF2;RYBP;USP13;YAF2
current__adaptive_diffusion_cosine_subspace__tfidf__adaptive_modes_02_05,6,6,tfidf,adaptive_modes_02_05,ok,accepted_tbs,37,6,True,43,1.3165137188879557e-06,SLBP Dependent Processing of Replication-Dependent Histone Pre-mRNAs,,5,9,0.8333333333333334,0.06,0.7733333333333334,13.88888888888889,strong,GPATCH11;SRRM1;SRSF2;ZRSR1;ZRSR2;ZRSR2P1
current__adaptive_diffusion_cosine_subspace__tfidf__adaptive_modes_06_10,3,3,tfidf,adaptive_modes_06_10,ok,accepted_tbs,31,6,True,17,1.3320555567523385e-06,RNA Polymerase II Transcription Termination,,6,18,1.0,0.12,0.88,8.333333333333334,strong,CIRSR;GPATCH11;SRSF2;U2AF1L4;ZRSR2;ZRSR2P1
current__adaptive_diffusion_cosine_subspace__tfidf__adaptive_modes_06_10,3,3,tfidf,adaptive_modes_06_10,ok,accepted_tbs,27,3,True,295,2.548636479483476e-06,Uptake and Function of Anthrax Toxins,,3,3,1.0,0.02,0.98,50.0,strong,BRAF;GPR31;KRAS
current__adaptive_diffusion_cosine_subspace__tfidf__adaptive_modes_06_10,3,3,tfidf,adaptive_modes_06_10,ok,accepted_tbs,64,4,True,309,8.270563838031725e-06,Downregulation of ERBB4 Signaling,,4,9,1.0,0.06,0.94,16.666666666666668,strong,FLT3;KIT;OVCA2;SH2B3
current__adaptive_diffusion_cosine_subspace__tfidf__adaptive_modes_06_10,3,3,tfidf,adaptive_modes_06_10,ok,accepted_tbs,37,3,True,98,8.33140476741495e-06,Class I Peroxisomal Membrane Protein Import,,3,4,1.0,0.02666666666666667,0.9733333333333334,37.5,strong,BCL2;BNIPL;HRK
current__adaptive_diffusion_cosine_subspace__tfidf__adaptive_modes_06_10,3,3,tfidf,adaptive_modes_06_10,ok,accepted_tbs,32,5,True,59,1.1928435861807902e-05,mRNA 3'-End Processing,,5,17,1.0,0.11333333333333333,0.8866666666666667,8.823529411764707,strong,RBM15;SF3B1;SRRM1;U2AF1;ZRSR1
current__adaptive_diffusion_cosine_subspace__tfidf__adaptive_modes_06_10,3,3,tfidf,adaptive_modes_06_10,ok,accepted_tbs,5,3,True,100,1.9856240816488618e-05,HCMV Late Events,,3,5,1.0,0.03333333333333333,0.9666666666666667,30.0,strong,NUP214;NUP93;NXF2
current__adaptive_diffusion_cosine_subspace__binary__adaptive_modes_52_80,4,4,binary,adaptive_modes_52_80,ok,accepted_tbs,2,5,True,92,3.3261390178281054e-05,CaMK IV-mediated Phosphorylation of CREB,,3,3,0.6,0.02,0.58,30.0,strong,CEBPA;GPR31;KRAS;SUV39H1;YAF2
current__adaptive_diffusion_cosine_subspace__tfidf__adaptive_modes_06_10,3,3,tfidf,adaptive_modes_06_10,ok,accepted_tbs,18,5,True,116,3.430383690716889e-05,Regulation of Lipid Metabolism by PPARalpha,,5,20,1.0,0.13333333333333333,0.8666666666666667,7.5,strong,ANKRD11;CTBP1;IRX4;RARA;RUNX1
current__adaptive_diffusion_cosine_subspace__tfidf__adaptive_modes_06_10,3,3,tfidf,adaptive_modes_06_10,ok,accepted_tbs,10,4,True,15,3.658721923999901e-05,Recruitment of Mitotic Centrosome Proteins and Complexes,,4,13,1.0,0.08666666666666667,0.9133333333333333,11.538461538461538,strong,C6ORF141;CCDC96;NCAPH2;S100P
current__adaptive_diffusion_cosine_subspace__binary__adaptive_modes_52_80,4,4,binary,adaptive_modes_52_80,ok,accepted_tbs,1,6,True,289,4.0662079712703524e-05,Extra-nuclear Estrogen Signaling,,6,28,1.0,0.18666666666666668,0.8133333333333334,5.357142857142857,strong,BCL2;FLT3;FMO3;RGL2;SOCS1;TEC
current__adaptive_diffusion_cosine_subspace__tfidf__adaptive_modes_06_10,3,3,tfidf,adaptive_modes_06_10,ok,accepted_tbs,53,4,True,65,8.609087811959861e-05,MECP2 Regulates Transcription of Neuronal Ligands,,4,15,1.0,0.1,0.9,10.0,strong,ASXL1;CBX3;DNMT3A;KMT2A
current__adaptive_diffusion_cosine_subspace__tfidf__adaptive_modes_06_10,3,3,tfidf,adaptive_modes_06_10,ok,accepted_tbs,26,3,True,133,0.0001229124395192758,Ras Activation Upon Ca2+ Influx Through NMDA Receptor,,3,8,1.0,0.05333333333333334,0.9466666666666667,18.75,strong,FMO3;NRAS;RGL2
current__adaptive_diffusion_cosine_subspace__tfidf__adaptive_modes_06_10,3,3,tfidf,adaptive_modes_06_10,ok,accepted_tbs,50,4,True,34,0.00012750302819691968,Synthesis of PC,,4,17,1.0,0.11333333333333333,0.8866666666666667,8.823529411764707,strong,CBX7;CBX8;PCGF3;PCGF5
current__adaptive_diffusion_cosine_subspace__tfidf__adaptive_modes_63_80,5,5,tfidf,adaptive_modes_63_80,ok,accepted_tbs,4,3,True,79,0.00014000622249877773,APC C Cdc20 Mediated Degradation of Securin,,3,8,1.0,0.05333333333333334,0.9466666666666667,18.75,strong,CDC16;RNF2;ZNF207
current__adaptive_diffusion_cosine_subspace__tfidf__adaptive_modes_06_10,3,3,tfidf,adaptive_modes_06_10,ok,accepted_tbs,47,3,True,107,0.00019160972444696772,SCF-beta-TrCP Mediated Degradation of Emi1,,3,9,1.0,0.06,0.94,16.666666666666668,strong,REC8;SKP1;USP37
current__adaptive_diffusion_cosine_subspace__tfidf__adaptive_modes_06_10,3,3,tfidf,adaptive_modes_06_10,ok,accepted_tbs,19,5,True,88,0.00028505266333252974,Epigenetic Regulation of Gene Expression by MLL3 and MLL4 Complexes,,5,30,1.0,0.2,0.8,5.0,strong,NFIA;NFIC;NFIX;QPRT;ZBTB5
current__adaptive_diffusion_cosine_subspace__tfidf__adaptive_modes_06_10,3,3,tfidf,adaptive_modes_06_10,ok,accepted_tbs,41,3,True,14,0.00033670415381824775,RUNX1 Regulates Transcription of Genes Involved in Differentiation of HSCs,,3,11,1.0,0.07333333333333333,0.9266666666666666,13.636363636363637,strong,CITED1;GATA2;ZFPM1
current__adaptive_diffusion_cosine_subspace__tfidf__adaptive_modes_06_10,3,3,tfidf,adaptive_modes_06_10,ok,accepted_tbs,57,4,True,28,0.0006523215271190275,DNA Methylation,,3,9,0.75,0.06,0.69,12.5,strong,MLLT1;PAF1;SUV39H1;ZNF513
